elapsed_sec,joint_name,position,velocity,effort
336.048916254,joint_6,-0.000002368,nan,nan
336.079837354,joint_1,-0.000001233,nan,nan
336.079837354,joint_2,-0.799980420,nan,nan
336.079837354,joint_3,1.200003830,nan,nan
336.079837354,joint_4,0.000020847,nan,nan
336.079837354,joint_5,0.799980387,nan,nan
336.079837354,joint_6,-0.000002368,nan,nan
336.108336853,joint_1,-0.000001233,nan,nan
336.108336853,joint_2,-0.799980420,nan,nan
336.108336853,joint_3,1.200003830,nan,nan
336.108336853,joint_4,0.000020847,nan,nan
336.108336853,joint_5,0.799980387,nan,nan
336.108336853,joint_6,-0.000002368,nan,nan
336.147216753,joint_1,-0.000001233,nan,nan
336.147216753,joint_2,-0.799980420,nan,nan
336.147216753,joint_3,1.200003830,nan,nan
336.147216753,joint_4,0.000020847,nan,nan
336.147216753,joint_5,0.799980387,nan,nan
336.147216753,joint_6,-0.000002368,nan,nan
336.182962052,joint_1,-0.000001233,nan,nan
336.182962052,joint_2,-0.799980420,nan,nan
336.182962052,joint_3,1.200003830,nan,nan
336.182962052,joint_4,0.000020847,nan,nan
336.182962052,joint_5,0.799980387,nan,nan
336.182962052,joint_6,-0.000002368,nan,nan
336.211828552,joint_1,-0.000001233,nan,nan
336.211828552,joint_2,-0.799980420,nan,nan
336.211828552,joint_3,1.200003830,nan,nan
336.211828552,joint_4,0.000020847,nan,nan
336.211828552,joint_5,0.799980387,nan,nan
336.211828552,joint_6,-0.000002368,nan,nan
336.246491351,joint_1,-0.000001233,nan,nan
336.246491351,joint_2,-0.799980420,nan,nan
336.246491351,joint_3,1.200003830,nan,nan
336.246491351,joint_4,0.000020847,nan,nan
336.246491351,joint_5,0.799980387,nan,nan
336.246491351,joint_6,-0.000002368,nan,nan
336.321446850,joint_1,-0.000001233,nan,nan
336.321446850,joint_2,-0.799980420,nan,nan
336.321446850,joint_3,1.200003830,nan,nan
336.321446850,joint_4,0.000020847,nan,nan
336.321446850,joint_5,0.799980387,nan,nan
336.321446850,joint_6,-0.000002368,nan,nan
336.366125849,joint_1,-0.000001233,nan,nan
336.366125849,joint_2,-0.799980420,nan,nan
336.366125849,joint_3,1.200003830,nan,nan
336.366125849,joint_4,0.000020847,nan,nan
336.366125849,joint_5,0.799980387,nan,nan
336.366125849,joint_6,-0.000002368,nan,nan
336.393568249,joint_1,-0.000001110,nan,nan
336.393568249,joint_2,-0.799982378,nan,nan
336.393568249,joint_3,1.200003447,nan,nan
336.393568249,joint_4,0.000018763,nan,nan
336.393568249,joint_5,0.799982348,nan,nan
336.393568249,joint_6,-0.000002131,nan,nan
336.448097248,joint_1,-0.000000999,nan,nan
336.448097248,joint_2,-0.799984140,nan,nan
336.448097248,joint_3,1.200003103,nan,nan
336.448097248,joint_4,0.000016886,nan,nan
336.448097248,joint_5,0.799984114,nan,nan
336.448097248,joint_6,-0.000001918,nan,nan
336.485268247,joint_1,-0.000000899,nan,nan
336.485268247,joint_2,-0.799985726,nan,nan
336.485268247,joint_3,1.200002792,nan,nan
336.485268247,joint_4,0.000015198,nan,nan
336.485268247,joint_5,0.799985702,nan,nan
336.485268247,joint_6,-0.000001726,nan,nan
336.521492746,joint_1,-0.000000809,nan,nan
336.521492746,joint_2,-0.799987153,nan,nan
336.521492746,joint_3,1.200002513,nan,nan
336.521492746,joint_4,0.000013678,nan,nan
336.521492746,joint_5,0.799987132,nan,nan
336.521492746,joint_6,-0.000001553,nan,nan
336.561071246,joint_1,-0.000000728,nan,nan
336.561071246,joint_2,-0.799988438,nan,nan
336.561071246,joint_3,1.200002262,nan,nan
336.561071246,joint_4,0.000012310,nan,nan
336.561071246,joint_5,0.799988419,nan,nan
336.561071246,joint_6,-0.000001398,nan,nan
336.599655245,joint_1,-0.000000655,nan,nan
336.599655245,joint_2,-0.799989594,nan,nan
336.599655245,joint_3,1.200002036,nan,nan
336.599655245,joint_4,0.000011079,nan,nan
336.599655245,joint_5,0.799989577,nan,nan
336.599655245,joint_6,-0.000001258,nan,nan
336.637473645,joint_1,-0.000000590,nan,nan
336.637473645,joint_2,-0.799990635,nan,nan
336.637473645,joint_3,1.200001832,nan,nan
336.637473645,joint_4,0.000009971,nan,nan
336.637473645,joint_5,0.799990619,nan,nan
336.637473645,joint_6,-0.000001132,nan,nan
336.674925644,joint_1,-0.000000590,nan,nan
336.674925644,joint_2,-0.799990635,nan,nan
336.674925644,joint_3,1.200001832,nan,nan
336.674925644,joint_4,0.000009971,nan,nan
336.674925644,joint_5,0.799990619,nan,nan
336.674925644,joint_6,-0.000001132,nan,nan
336.707797143,joint_1,-0.000000590,nan,nan
336.707797143,joint_2,-0.799990635,nan,nan
336.707797143,joint_3,1.200001832,nan,nan
336.707797143,joint_4,0.000009971,nan,nan
336.707797143,joint_5,0.799990619,nan,nan
336.707797143,joint_6,-0.000001132,nan,nan
336.733320843,joint_1,-0.000000590,nan,nan
336.733320843,joint_2,-0.799990635,nan,nan
336.733320843,joint_3,1.200001832,nan,nan
336.733320843,joint_4,0.000009971,nan,nan
336.733320843,joint_5,0.799990619,nan,nan
336.733320843,joint_6,-0.000001132,nan,nan
336.821309541,joint_1,-0.000000590,nan,nan
336.821309541,joint_2,-0.799990635,nan,nan
336.821309541,joint_3,1.200001832,nan,nan
336.821309541,joint_4,0.000009971,nan,nan
336.821309541,joint_5,0.799990619,nan,nan
336.821309541,joint_6,-0.000001132,nan,nan
336.858248341,joint_1,-0.000000590,nan,nan
336.858248341,joint_2,-0.799990635,nan,nan
336.858248341,joint_3,1.200001832,nan,nan
336.858248341,joint_4,0.000009971,nan,nan
336.858248341,joint_5,0.799990619,nan,nan
336.858248341,joint_6,-0.000001132,nan,nan
336.894415440,joint_1,-0.000000590,nan,nan
336.894415440,joint_2,-0.799990635,nan,nan
336.894415440,joint_3,1.200001832,nan,nan
336.894415440,joint_4,0.000009971,nan,nan
336.894415440,joint_5,0.799990619,nan,nan
336.894415440,joint_6,-0.000001132,nan,nan
336.919750640,joint_1,-0.000000590,nan,nan
336.919750640,joint_2,-0.799990635,nan,nan
336.919750640,joint_3,1.200001832,nan,nan
336.919750640,joint_4,0.000009971,nan,nan
336.919750640,joint_5,0.799990619,nan,nan
336.919750640,joint_6,-0.000001132,nan,nan
336.960621939,joint_1,-0.000000590,nan,nan
336.960621939,joint_2,-0.799990635,nan,nan
336.960621939,joint_3,1.200001832,nan,nan
336.960621939,joint_4,0.000009971,nan,nan
336.960621939,joint_5,0.799990619,nan,nan
336.960621939,joint_6,-0.000001132,nan,nan
336.986479139,joint_1,-0.000000590,nan,nan
336.986479139,joint_2,-0.799990635,nan,nan
336.986479139,joint_3,1.200001832,nan,nan
336.986479139,joint_4,0.000009971,nan,nan
336.986479139,joint_5,0.799990619,nan,nan
336.986479139,joint_6,-0.000001132,nan,nan
337.014023638,joint_1,-0.000000590,nan,nan
337.014023638,joint_2,-0.799990635,nan,nan
337.014023638,joint_3,1.200001832,nan,nan
337.014023638,joint_4,0.000009971,nan,nan
337.014023638,joint_5,0.799990619,nan,nan
337.014023638,joint_6,-0.000001132,nan,nan
337.041865638,joint_1,-0.000000590,nan,nan
337.041865638,joint_2,-0.799990635,nan,nan
337.041865638,joint_3,1.200001832,nan,nan
337.041865638,joint_4,0.000009971,nan,nan
337.041865638,joint_5,0.799990619,nan,nan
337.041865638,joint_6,-0.000001132,nan,nan
337.077429437,joint_1,-0.000000590,nan,nan
337.077429437,joint_2,-0.799990635,nan,nan
337.077429437,joint_3,1.200001832,nan,nan
337.077429437,joint_4,0.000009971,nan,nan
