elapsed_sec,level,status
9.405705232,OK,OK: joint states valid during phase uninitialized
9.412070832,WARNING,WARNING: waiting for first /task_phase message
9.436984732,OK,OK: joint states valid during phase uninitialized
9.456885932,OK,OK: joint states valid during phase uninitialized
9.479803533,OK,OK: joint states valid during phase uninitialized
9.506869833,OK,OK: joint states valid during phase uninitialized
9.529109333,OK,OK: joint states valid during phase uninitialized
9.554867133,OK,OK: joint states valid during phase uninitialized
9.575308833,OK,OK: joint states valid during phase uninitialized
9.599320133,OK,OK: joint states valid during phase uninitialized
9.613379433,WARNING,WARNING: waiting for first /task_phase message
9.626646333,OK,OK: joint states valid during phase uninitialized
9.645905833,OK,OK: joint states valid during phase uninitialized
9.665915534,OK,OK: joint states valid during phase uninitialized
9.691435634,OK,OK: joint states valid during phase uninitialized
9.714294234,OK,OK: joint states valid during phase uninitialized
9.732696134,OK,OK: joint states valid during phase uninitialized
9.765507334,OK,OK: joint states valid during phase uninitialized
9.790187234,OK,OK: joint states valid during phase uninitialized
9.810462934,OK,OK: joint states valid during phase uninitialized
9.810779534,WARNING,WARNING: waiting for first /task_phase message
9.831806134,OK,OK: joint states valid during phase uninitialized
9.854230434,OK,OK: joint states valid during phase uninitialized
9.873904635,OK,OK: joint states valid during phase uninitialized
9.895751835,OK,OK: joint states valid during phase uninitialized
9.917055835,OK,OK: joint states valid during phase uninitialized
9.940123535,OK,OK: joint states valid during phase uninitialized
9.961143135,OK,OK: joint states valid during phase uninitialized
9.981329035,OK,OK: joint states valid during phase uninitialized
10.001066035,OK,OK: joint states valid during phase uninitialized
10.010927435,WARNING,WARNING: waiting for first /task_phase message
10.033252235,OK,OK: joint states valid during phase uninitialized
10.057434135,OK,OK: joint states valid during phase uninitialized
10.083281336,OK,OK: joint states valid during phase uninitialized
10.102843636,OK,OK: joint states valid during phase uninitialized
10.123076336,OK,OK: joint states valid during phase uninitialized
10.143337536,OK,OK: joint states valid during phase uninitialized
10.163064536,OK,OK: joint states valid during phase uninitialized
10.183771536,OK,OK: joint states valid during phase uninitialized
10.206448536,OK,OK: joint states valid during phase uninitialized
10.210797936,WARNING,WARNING: waiting for first /task_phase message
10.230882236,OK,OK: joint states valid during phase uninitialized
10.254840836,OK,OK: joint states valid during phase uninitialized
10.275055037,OK,OK: joint states valid during phase uninitialized
10.296878137,OK,OK: joint states valid during phase uninitialized
10.323450637,OK,OK: joint states valid during phase uninitialized
10.344718437,OK,OK: joint states valid during phase uninitialized
10.366481537,OK,OK: joint states valid during phase uninitialized
10.386984337,OK,OK: joint states valid during phase uninitialized
